Rank,Rider,Rank.1,Rider No.,Team,Times,Gap,B,P,year,edition
1,ALEXANDER KRISTOFF,1,135,UAE TEAM EMIRATES,03h 46' 23'',-,B : 10'',-,2020.0,107.0
2,MADS PEDERSEN,2,105,TREK - SEGAFREDO,03h 46' 23'',-,B : 6'',-,2020.0,107.0
3,CEES BOL,3,203,TEAM SUNWEB,03h 46' 23'',-,B : 4'',-,2020.0,107.0
4,SAM BENNETT,4,43,DECEUNINCK - QUICK - STEP,03h 46' 23'',-,-,-,2020.0,107.0
5,PETER SAGAN,5,21,BORA - HANSGROHE,03h 46' 23'',-,-,-,2020.0,107.0
6,ELIA VIVIANI,6,128,COFIDIS,03h 46' 23'',-,-,-,2020.0,107.0
7,GIACOMO NIZZOLO,7,191,NTT PRO CYCLING TEAM,03h 46' 23'',-,-,-,2020.0,107.0
8,BRYAN COQUARD,8,211,B&B HOTELS - VITAL CONCEPT P / B KTM,03h 46' 23'',-,-,-,2020.0,107.0
9,ANTHONY TURGIS,9,188,TOTAL DIRECT ENERGIE,03h 46' 23'',-,-,-,2020.0,107.0
10,JASPER STUYVEN,10,107,TREK - SEGAFREDO,03h 46' 23'',-,-,-,2020.0,107.0
11,OLIVER NAESEN,11,35,AG2R LA MONDIALE,03h 46' 23'',-,-,-,2020.0,107.0
12,MATTEO TRENTIN,12,117,CCC TEAM,03h 46' 23'',-,-,-,2020.0,107.0
13,CLÉMENT VENTURINI,13,37,AG2R LA MONDIALE,03h 46' 23'',-,-,-,2020.0,107.0
14,LUKA MEZGEC,14,167,MITCHELTON - SCOTT,03h 46' 23'',-,-,-,2020.0,107.0
15,HUGO HOULE,15,143,ASTANA PRO TEAM,03h 46' 23'',-,-,-,2020.0,107.0
16,SERGIO ANDRES HIGUITA,16,74,EF PRO CYCLING,03h 46' 23'',-,-,-,2020.0,107.0
17,TADEJ POGACAR,17,131,UAE TEAM EMIRATES,03h 46' 23'',-,-,-,2020.0,107.0
18,CONNOR SWIFT,18,88,TEAM ARKEA - SAMSIC,03h 46' 23'',-,-,-,2020.0,107.0
19,CALEB EWAN,19,151,LOTTO SOUDAL,03h 46' 23'',-,-,-,2020.0,107.0
20,CHRISTOPHE LAPORTE,20,125,COFIDIS,03h 46' 23'',-,-,-,2020.0,107.0
21,JONAS KOCH,21,115,CCC TEAM,03h 46' 23'',-,-,-,2020.0,107.0
22,MICHAEL MØRKØV,22,48,DECEUNINCK - QUICK - STEP,03h 46' 23'',-,-,-,2020.0,107.0
23,MARCO HALLER,23,65,BAHRAIN - MCLAREN,03h 46' 23'',-,-,-,2020.0,107.0
24,CYRIL GAUTIER,24,215,B&B HOTELS - VITAL CONCEPT P / B KTM,03h 46' 23'',-,-,-,2020.0,107.0
25,DAVIDE FORMOLO,25,134,UAE TEAM EMIRATES,03h 46' 23'',-,-,-,2020.0,107.0
26,ANDREY AMADOR,26,2,INEOS GRENADIERS,03h 46' 23'',-,-,-,2020.0,107.0
27,VEGARD STAKE LAENGEN,27,136,UAE TEAM EMIRATES,03h 46' 23'',-,-,-,2020.0,107.0
28,SIMONE CONSONNI,28,122,COFIDIS,03h 46' 23'',-,-,-,2020.0,107.0
29,JAN POLANC,29,138,UAE TEAM EMIRATES,03h 46' 23'',-,-,-,2020.0,107.0
30,EDWARD THEUNS,30,108,TREK - SEGAFREDO,03h 46' 23'',-,-,-,2020.0,107.0
31,JACK BAUER,31,162,MITCHELTON - SCOTT,03h 46' 23'',-,-,-,2020.0,107.0
32,CASPER PHILLIP PEDERSEN,32,207,TEAM SUNWEB,03h 46' 23'',-,-,-,2020.0,107.0
33,JORIS NIEUWENHUIS,33,206,TEAM SUNWEB,03h 46' 23'',-,-,-,2020.0,107.0
34,SØREN KRAGH ANDERSEN,34,205,TEAM SUNWEB,03h 46' 23'',-,-,-,2020.0,107.0
35,WOUT VAN AERT,35,18,TEAM JUMBO - VISMA,03h 46' 23'',-,-,-,2020.0,107.0
36,DANIEL FELIPE MARTINEZ,36,76,EF PRO CYCLING,03h 46' 23'',-,-,-,2020.0,107.0
37,CLÉMENT RUSSO,37,87,TEAM ARKEA - SAMSIC,03h 46' 23'',-,-,-,2020.0,107.0
38,AMUND GRØNDAHL JANSEN,38,13,TEAM JUMBO - VISMA,03h 46' 23'',-,-,-,2020.0,107.0
39,PRIMOŽ ROGLIC,39,11,TEAM JUMBO - VISMA,03h 46' 23'',-,-,-,2020.0,107.0
40,RYAN GIBBONS,40,193,NTT PRO CYCLING TEAM,03h 46' 23'',-,-,-,2020.0,107.0
41,SEPP KUSS,41,16,TEAM JUMBO - VISMA,03h 46' 23'',-,-,-,2020.0,107.0
42,MARCO MARCATO,42,137,UAE TEAM EMIRATES,03h 46' 23'',-,-,-,2020.0,107.0
43,TOM DUMOULIN,43,14,TEAM JUMBO - VISMA,03h 46' 23'',-,-,-,2020.0,107.0
44,RICHARD CARAPAZ,44,3,INEOS GRENADIERS,03h 46' 23'',-,-,-,2020.0,107.0
45,EGAN BERNAL,45,1,INEOS GRENADIERS,03h 46' 23'',-,-,-,2020.0,107.0
46,ESTEBAN CHAVES,46,164,MITCHELTON - SCOTT,03h 46' 23'',-,-,-,2020.0,107.0
47,JENS DEBUSSCHERE,47,214,B&B HOTELS - VITAL CONCEPT P / B KTM,03h 46' 23'',-,-,-,2020.0,107.0
48,DANIEL OSS,48,26,BORA - HANSGROHE,03h 46' 23'',-,-,-,2020.0,107.0
49,JASPER DE BUYST,49,153,LOTTO SOUDAL,03h 46' 23'',-,-,-,2020.0,107.0
50,ROGER KLUGE,50,158,LOTTO SOUDAL,03h 46' 23'',-,-,-,2020.0,107.0
51,CHRISTOPHER JUUL JENSEN,51,166,MITCHELTON - SCOTT,03h 46' 23'',-,-,-,2020.0,107.0
52,TONY MARTIN,52,17,TEAM JUMBO - VISMA,03h 46' 23'',-,-,-,2020.0,107.0
53,KASPER ASGREEN,53,42,DECEUNINCK - QUICK - STEP,03h 46' 23'',-,-,-,2020.0,107.0
54,CYRIL BARTHE,54,212,B&B HOTELS - VITAL CONCEPT P / B KTM,03h 46' 23'',-,-,-,2020.0,107.0
55,FABIEN GRELLIER,55,185,TOTAL DIRECT ENERGIE,03h 46' 23'',-,-,-,2020.0,107.0
56,KÉVIN REZA,56,217,B&B HOTELS - VITAL CONCEPT P / B KTM,03h 46' 23'',-,-,-,2020.0,107.0
57,MIKAEL CHEREL,57,32,AG2R LA MONDIALE,03h 46' 23'',-,-,-,2020.0,107.0
58,TOM VAN ASBROECK,58,178,ISRAEL START-UP NATION,03h 46' 23'',-,-,-,2020.0,107.0
59,DAYER QUINTANA,59,85,TEAM ARKEA - SAMSIC,03h 46' 23'',-,-,-,2020.0,107.0
60,NAIRO QUINTANA,60,81,TEAM ARKEA - SAMSIC,03h 46' 23'',-,-,-,2020.0,107.0
61,FABIO ARU,61,132,UAE TEAM EMIRATES,03h 46' 23'',-,-,-,2020.0,107.0
62,MAXIME CHEVALIER,62,213,B&B HOTELS - VITAL CONCEPT P / B KTM,03h 46' 23'',-,-,-,2020.0,107.0
63,GREGOR MÜHLBERGER,63,25,BORA - HANSGROHE,03h 46' 23'',-,-,-,2020.0,107.0
64,TIESJ BENOOT,64,201,TEAM SUNWEB,03h 46' 23'',-,-,-,2020.0,107.0
65,FELIX GROSSSCHARTNER,65,23,BORA - HANSGROHE,03h 46' 23'',-,-,-,2020.0,107.0
66,EMANUEL BUCHMANN,66,22,BORA - HANSGROHE,03h 46' 23'',-,-,-,2020.0,107.0
67,SIMON GESCHKE,67,113,CCC TEAM,03h 46' 23'',-,-,-,2020.0,107.0
68,GREG VAN AVERMAET,68,111,CCC TEAM,03h 46' 23'',-,-,-,2020.0,107.0
69,ROBERT GESINK,69,15,TEAM JUMBO - VISMA,03h 46' 23'',-,-,-,2020.0,107.0
70,HUGO HOFSTETTER,70,174,ISRAEL START-UP NATION,03h 46' 23'',-,-,-,2020.0,107.0
71,TEJAY VAN GARDEREN,71,78,EF PRO CYCLING,03h 46' 23'',-,-,-,2020.0,107.0
72,JENS KEUKELEIRE,72,75,EF PRO CYCLING,03h 46' 23'',-,-,-,2020.0,107.0
73,QUENTIN PACHER,73,216,B&B HOTELS - VITAL CONCEPT P / B KTM,03h 46' 23'',-,-,-,2020.0,107.0
74,PIERRE LUC PERICHON,74,127,COFIDIS,03h 46' 23'',-,-,-,2020.0,107.0
75,GUILLAUME MARTIN,75,121,COFIDIS,03h 46' 23'',-,-,-,2020.0,107.0
76,MICHAL KWIATKOWSKI,76,5,INEOS GRENADIERS,03h 46' 23'',-,-,-,2020.0,107.0
77,GEOFFREY SOUPE,77,187,TOTAL DIRECT ENERGIE,03h 46' 23'',-,-,-,2020.0,107.0
78,NELSON OLIVEIRA,78,95,MOVISTAR TEAM,03h 46' 23'',-,-,-,2020.0,107.0
79,DAVID DE LA CRUZ,79,133,UAE TEAM EMIRATES,03h 46' 23'',-,-,-,2020.0,107.0
80,ENRIC MAS,80,94,MOVISTAR TEAM,03h 46' 23'',-,-,-,2020.0,107.0
81,ALEXIS VUILLERMOZ,81,38,AG2R LA MONDIALE,03h 46' 23'',-,-,-,2020.0,107.0
82,PIERRE LATOUR,82,34,AG2R LA MONDIALE,03h 46' 23'',-,-,-,2020.0,107.0
83,NANS PETERS,83,36,AG2R LA MONDIALE,03h 46' 23'',-,-,-,2020.0,107.0
84,ROMAIN BARDET,84,31,AG2R LA MONDIALE,03h 46' 23'',-,-,-,2020.0,107.0
85,NEILSON POWLESS,85,77,EF PRO CYCLING,03h 46' 23'',-,-,-,2020.0,107.0
86,HUGH JOHN CARTHY,86,73,EF PRO CYCLING,03h 46' 23'',-,-,-,2020.0,107.0
87,ALBERTO BETTIOL,87,72,EF PRO CYCLING,03h 46' 23'',-,-,-,2020.0,107.0
88,KRISTS NEILANDS,88,175,ISRAEL START-UP NATION,03h 46' 23'',-,-,-,2020.0,107.0
89,MAXIMILIAN WALSCHEID,89,198,NTT PRO CYCLING TEAM,03h 46' 23'',-,-,-,2020.0,107.0
90,MICHAEL HUNDAHL VALGREN,90,195,NTT PRO CYCLING TEAM,03h 46' 23'',-,-,-,2020.0,107.0
91,EDVALD BOASSON HAGEN,91,192,NTT PRO CYCLING TEAM,03h 46' 23'',-,-,-,2020.0,107.0
92,GORKA IZAGUIRRE INSAUSTI,92,144,ASTANA PRO TEAM,03h 46' 23'',-,-,-,2020.0,107.0
93,RIGOBERTO URAN,93,71,EF PRO CYCLING,03h 46' 23'',-,-,-,2020.0,107.0
94,PIERRE ROLLAND,94,218,B&B HOTELS - VITAL CONCEPT P / B KTM,03h 46' 23'',-,-,-,2020.0,107.0
95,NICOLAS EDET,95,123,COFIDIS,03h 46' 23'',-,-,-,2020.0,107.0
96,BAUKE MOLLEMA,96,104,TREK - SEGAFREDO,03h 46' 23'',-,-,-,2020.0,107.0
