rank,rider,rider_number,team,time,bonus,penalty,stage,date,distance,origin,destination,stage_type,winner_country,general,points,mountains,young,stage_winner,time_seconds,cumtime,gc_rank,timediff
1,Alexander Kristoff,135,Uae Team Emirates,3H 46M 13S,10,0,1,2020-08-29,156,Nice,Nice,Flat stage,NOR,135,135,185,105,135,13573,13573,1,0
2,Mads Pedersen,105,Trek - Segafredo,3H 46M 17S,6,0,1,2020-08-29,156,Nice,Nice,Flat stage,NOR,135,135,185,105,135,13577,13577,2,4
3,Cees Bol,203,Team Sunweb,3H 46M 19S,4,0,1,2020-08-29,156,Nice,Nice,Flat stage,NOR,135,135,185,105,135,13579,13579,3,6
4,Sam Bennett,43,Deceuninck - Quick - Step,3H 46M 23S,0,0,1,2020-08-29,156,Nice,Nice,Flat stage,NOR,135,135,185,105,135,13583,13583,4,10
5,Peter Sagan,21,Bora - Hansgrohe,3H 46M 23S,0,0,1,2020-08-29,156,Nice,Nice,Flat stage,NOR,135,135,185,105,135,13583,13583,5,10
6,Elia Viviani,128,Cofidis,3H 46M 23S,0,0,1,2020-08-29,156,Nice,Nice,Flat stage,NOR,135,135,185,105,135,13583,13583,6,10
7,Giacomo Nizzolo,191,Ntt Pro Cycling Team,3H 46M 23S,0,0,1,2020-08-29,156,Nice,Nice,Flat stage,NOR,135,135,185,105,135,13583,13583,7,10
8,Bryan Coquard,211,B&B Hotels - Vital Concept P / B Ktm,3H 46M 23S,0,0,1,2020-08-29,156,Nice,Nice,Flat stage,NOR,135,135,185,105,135,13583,13583,8,10
9,Anthony Turgis,188,Total Direct Energie,3H 46M 23S,0,0,1,2020-08-29,156,Nice,Nice,Flat stage,NOR,135,135,185,105,135,13583,13583,9,10
10,Jasper Stuyven,107,Trek - Segafredo,3H 46M 23S,0,0,1,2020-08-29,156,Nice,Nice,Flat stage,NOR,135,135,185,105,135,13583,13583,10,10
11,Oliver Naesen,35,Ag2r La Mondiale,3H 46M 23S,0,0,1,2020-08-29,156,Nice,Nice,Flat stage,NOR,135,135,185,105,135,13583,13583,11,10
12,Matteo Trentin,117,Ccc Team,3H 46M 23S,0,0,1,2020-08-29,156,Nice,Nice,Flat stage,NOR,135,135,185,105,135,13583,13583,12,10
13,Clément Venturini,37,Ag2r La Mondiale,3H 46M 23S,0,0,1,2020-08-29,156,Nice,Nice,Flat stage,NOR,135,135,185,105,135,13583,13583,13,10
14,Luka Mezgec,167,Mitchelton - Scott,3H 46M 23S,0,0,1,2020-08-29,156,Nice,Nice,Flat stage,NOR,135,135,185,105,135,13583,13583,14,10
15,Hugo Houle,143,Astana Pro Team,3H 46M 23S,0,0,1,2020-08-29,156,Nice,Nice,Flat stage,NOR,135,135,185,105,135,13583,13583,15,10
16,Sergio Andres Higuita,74,Ef Pro Cycling,3H 46M 23S,0,0,1,2020-08-29,156,Nice,Nice,Flat stage,NOR,135,135,185,105,135,13583,13583,16,10
17,Tadej Pogacar,131,Uae Team Emirates,3H 46M 23S,0,0,1,2020-08-29,156,Nice,Nice,Flat stage,NOR,135,135,185,105,135,13583,13583,17,10
18,Connor Swift,88,Team Arkea - Samsic,3H 46M 23S,0,0,1,2020-08-29,156,Nice,Nice,Flat stage,NOR,135,135,185,105,135,13583,13583,18,10
19,Caleb Ewan,151,Lotto Soudal,3H 46M 23S,0,0,1,2020-08-29,156,Nice,Nice,Flat stage,NOR,135,135,185,105,135,13583,13583,19,10
20,Christophe Laporte,125,Cofidis,3H 46M 23S,0,0,1,2020-08-29,156,Nice,Nice,Flat stage,NOR,135,135,185,105,135,13583,13583,20,10
21,Jonas Koch,115,Ccc Team,3H 46M 23S,0,0,1,2020-08-29,156,Nice,Nice,Flat stage,NOR,135,135,185,105,135,13583,13583,21,10
22,Michael Mørkøv,48,Deceuninck - Quick - Step,3H 46M 23S,0,0,1,2020-08-29,156,Nice,Nice,Flat stage,NOR,135,135,185,105,135,13583,13583,22,10
23,Marco Haller,65,Bahrain - Mclaren,3H 46M 23S,0,0,1,2020-08-29,156,Nice,Nice,Flat stage,NOR,135,135,185,105,135,13583,13583,23,10
24,Cyril Gautier,215,B&B Hotels - Vital Concept P / B Ktm,3H 46M 23S,0,0,1,2020-08-29,156,Nice,Nice,Flat stage,NOR,135,135,185,105,135,13583,13583,24,10
25,Davide Formolo,134,Uae Team Emirates,3H 46M 23S,0,0,1,2020-08-29,156,Nice,Nice,Flat stage,NOR,135,135,185,105,135,13583,13583,25,10
26,Andrey Amador,2,Ineos Grenadiers,3H 46M 23S,0,0,1,2020-08-29,156,Nice,Nice,Flat stage,NOR,135,135,185,105,135,13583,13583,26,10
27,Vegard Stake Laengen,136,Uae Team Emirates,3H 46M 23S,0,0,1,2020-08-29,156,Nice,Nice,Flat stage,NOR,135,135,185,105,135,13583,13583,27,10
28,Simone Consonni,122,Cofidis,3H 46M 23S,0,0,1,2020-08-29,156,Nice,Nice,Flat stage,NOR,135,135,185,105,135,13583,13583,28,10
29,Jan Polanc,138,Uae Team Emirates,3H 46M 23S,0,0,1,2020-08-29,156,Nice,Nice,Flat stage,NOR,135,135,185,105,135,13583,13583,29,10
30,Edward Theuns,108,Trek - Segafredo,3H 46M 23S,0,0,1,2020-08-29,156,Nice,Nice,Flat stage,NOR,135,135,185,105,135,13583,13583,30,10
31,Jack Bauer,162,Mitchelton - Scott,3H 46M 23S,0,0,1,2020-08-29,156,Nice,Nice,Flat stage,NOR,135,135,185,105,135,13583,13583,31,10
32,Casper Phillip Pedersen,207,Team Sunweb,3H 46M 23S,0,0,1,2020-08-29,156,Nice,Nice,Flat stage,NOR,135,135,185,105,135,13583,13583,32,10
